,Regra,Precision,Recall,F1,Disparos
39,rule_random_replay_stnum_sqnum_mismatch,0.8916,0.9837,0.9354,203
27,rule_masquerade_fake_fault_combined,0.9128,0.8533,0.882,172
17,rule_injection_combined,0.9329,0.7554,0.8348,149
23,rule_masquerade_fake_fault_tdiff,0.9007,0.6902,0.7815,141
25,rule_masquerade_fake_fault_stdiff,0.9173,0.663,0.7697,133
33,rule_masquerade_fake_normal_combined,0.9252,0.538,0.6804,107
6,rule_grayhole_combined,0.899,0.4837,0.629,99
26,rule_masquerade_fake_fault_sqdiff,0.9072,0.4783,0.6263,97
1,rule_grayhole_sqnum,0.8696,0.4348,0.5797,92
10,rule_high_StNum_timeFromLastChange,0.8947,0.3696,0.5231,76
30,rule_masquerade_fake_normal_large_stdiff,0.9275,0.3478,0.5059,69
15,rule_injection_tdiff,0.8904,0.3533,0.5058,73
41,rule_random_replay_large_stdiff,0.8667,0.3533,0.5019,75
2,rule_grayhole_timediff,0.8986,0.337,0.4901,69
24,rule_masquerade_fake_fault_timestampdiff,0.8986,0.337,0.4901,69
12,rule_injection_stdiff,0.9667,0.3152,0.4754,60
16,rule_injection_timefromlastchange,1.0,0.2989,0.4603,55
28,rule_masquerade_fake_normal_high_stnum,1.0,0.2989,0.4603,55
13,rule_injection_sqdiff,0.9245,0.2663,0.4135,53
40,rule_random_replay_large_sqdiff,0.9,0.2446,0.3846,50
42,rule_random_replay_timestamp_anomaly,0.9167,0.2391,0.3793,48
8,rule_high_StNum_stDiff,1.0,0.1467,0.2559,27
37,rule_poisoned_high_rate_timefromlastchange,1.0,0.1141,0.2049,21
21,rule_inverse_replay_stdiff_sqdiff,0.913,0.1141,0.2029,23
34,rule_poisoned_high_rate_stnum,1.0,0.1033,0.1872,19
36,rule_poisoned_high_rate_tdiff,1.0,0.087,0.16,16
19,rule_inverse_replay_sqnum,0.9333,0.0761,0.1407,15
7,rule_high_StNum_StNum,1.0,0.0543,0.1031,10
9,rule_high_StNum_stDiff_and_StNum,1.0,0.0489,0.0933,9
43,rule_random_replay_combined,0.9,0.0489,0.0928,10
11,rule_high_StNum_combined,1.0,0.038,0.0733,7
20,rule_inverse_replay_tdiff,1.0,0.0054,0.0108,1
31,rule_masquerade_fake_normal_zero_timestampdiff,1.0,0.0054,0.0108,1
4,rule_grayhole_apdu_size,0.0,0.0,0.0,0
0,rule_grayhole_stnum,0.0,0.0,0.0,0
3,rule_grayhole_goose_length,0.0,0.0,0.0,0
5,rule_grayhole_frame_length,0.0,0.0,0.0,0
22,rule_inverse_replay_combined,0.0,0.0,0.0,0
14,rule_injection_timestampdiff,0.0,0.0,0.0,0
18,rule_inverse_replay_stnum,0.0,0.0,0.0,0
35,rule_poisoned_high_rate_sqnum,0.0,0.0,0.0,0
32,rule_masquerade_fake_normal_unusual_delay,0.0,0.0,0.0,0
29,rule_masquerade_fake_normal_large_sqdiff,0.0,0.0,0.0,0
38,rule_poisoned_high_rate_combined,0.0,0.0,0.0,0
